iter	Passed	Remaining
0	11	11480
1	23	11889
2	37	12317
3	49	12321
4	60	12056
5	73	12093
6	85	12099
7	98	12181
8	109	12028
9	122	12131
10	135	12152
11	147	12117
12	157	11985
13	171	12065
14	184	12095
15	196	12108
16	207	11988
17	218	11919
18	230	11912
19	240	11805
20	252	11793
21	265	11784
22	275	11711
23	286	11667
24	298	11638
25	308	11548
26	319	11512
27	331	11493
28	341	11434
29	353	11422
30	364	11404
31	375	11368
32	385	11298
33	397	11292
34	408	11276
35	418	11216
36	429	11189
37	441	11174
38	452	11139
39	463	11117
40	474	11101
41	485	11068
42	496	11053
43	508	11041
44	518	10997
45	528	10969
46	540	10960
47	550	10918
48	561	10899
49	572	10878
50	583	10855
51	597	10897
52	610	10915
53	623	10922
54	634	10894
55	646	10903
56	658	10895
57	668	10860
58	679	10844
59	691	10839
60	703	10826
61	713	10789
62	725	10785
63	737	10780
64	747	10751
65	759	10742
66	770	10736
67	781	10709
68	792	10694
69	804	10687
70	830	10863
71	842	10854
72	854	10844
73	864	10814
74	875	10799
75	887	10792
76	897	10759
77	911	10770
78	924	10773
79	936	10772
80	953	10818
81	971	10870
82	987	10908
83	1004	10954
84	1020	10989
85	1036	11011
86	1052	11041
87	1067	11058
88	1082	11084
89	1103	11152
90	1120	11189
91	1152	11372
92	1193	11642
93	1211	11672
94	1234	11762
95	1248	11755
96	1263	11761
97	1274	11733
98	1287	11713
99	1299	11698
100	1312	11683
101	1323	11654
102	1335	11633
103	1348	11616
104	1361	11608
105	1374	11589
106	1386	11574
107	1398	11554
108	1411	11537
109	1422	11507
110	1434	11487
111	1446	11466
112	1457	11439
113	1469	11417
114	1480	11392
115	1490	11360
116	1500	11327
117	1512	11303
118	1521	11267
119	1532	11238
120	1544	11217
121	1554	11186
122	1566	11166
123	1577	11146
124	1587	11112
125	1598	11089
126	1610	11068
127	1621	11044
128	1632	11021
129	1643	11000
130	1653	10967
131	1664	10944
132	1675	10920
133	1684	10888
134	1695	10863
135	1705	10837
136	1715	10807
137	1726	10782
138	1735	10752
139	1746	10728
140	1757	10706
141	1767	10680
142	1778	10655
143	1789	10636
144	1799	10609
145	1810	10587
146	1820	10566
147	1831	10541
148	1841	10516
149	1851	10494
150	1861	10468
151	1872	10447
152	1884	10432
153	1895	10412
154	1907	10397
155	1921	10396
156	1931	10372
157	1943	10356
158	1955	10343
159	1967	10329
160	1978	10308
161	1989	10291
162	2000	10273
163	2012	10257
164	2023	10240
165	2035	10226
166	2046	10205
167	2057	10188
168	2068	10173
169	2080	10157
170	2092	10144
171	2104	10133
172	2118	10129
173	2133	10126
174	2148	10130
175	2162	10122
176	2177	10123
177	2191	10121
178	2204	10110
179	2218	10104
180	2229	10089
181	2241	10072
182	2253	10058
183	2264	10041
184	2275	10026
185	2287	10009
186	2298	9994
187	2310	9977
188	2320	9956
189	2332	9942
190	2349	9953
191	2361	9937
192	2372	9919
193	2383	9903
194	2395	9887
195	2406	9872
196	2419	9861
197	2431	9848
198	2442	9832
199	2454	9816
200	2465	9802
201	2477	9785
202	2488	9771
203	2500	9755
204	2511	9740
205	2522	9721
206	2535	9712
207	2546	9697
208	2558	9684
209	2569	9665
210	2580	9649
211	2594	9643
212	2605	9626
213	2616	9611
214	2627	9593
215	2639	9581
216	2650	9564
217	2662	9549
218	2673	9535
219	2684	9519
220	2697	9507
221	2709	9495
222	2721	9483
223	2734	9471
224	2745	9456
225	2756	9440
226	2767	9424
227	2778	9408
228	2790	9394
229	2801	9379
230	2814	9368
231	2825	9353
232	2837	9340
233	2848	9324
234	2859	9309
235	2871	9295
236	2882	9281
237	2893	9265
238	2906	9254
239	2925	9264
240	2937	9251
241	2948	9236
242	2960	9223
243	2972	9210
244	2985	9198
245	2995	9182
246	3007	9168
247	3018	9153
248	3030	9138
249	3043	9130
250	3055	9118
251	3067	9105
252	3078	9089
253	3091	9079
254	3102	9065
255	3113	9049
256	3127	9041
257	3140	9030
258	3151	9017
259	3163	9003
260	3175	8992
261	3188	8982
262	3199	8967
263	3212	8955
264	3222	8938
265	3235	8927
266	3247	8914
267	3258	8899
268	3270	8886
269	3282	8874
270	3292	8857
271	3304	8843
272	3316	8832
273	3328	8820
274	3339	8803
275	3351	8792
276	3364	8780
277	3375	8765
278	3386	8752
279	3399	8741
280	3412	8731
281	3423	8717
282	3436	8706
283	3447	8692
284	3459	8679
285	3471	8665
286	3482	8652
287	3495	8640
288	3505	8623
289	3518	8614
290	3531	8603
291	3542	8589
292	3552	8573
293	3564	8558
294	3575	8545
295	3585	8528
296	3597	8515
297	3609	8502
298	3620	8489
299	3632	8475
300	3650	8478
301	3662	8465
302	3677	8458
303	3689	8447
304	3704	8441
305	3718	8432
306	3732	8424
307	3746	8417
308	3759	8407
309	3772	8396
310	3785	8386
311	3799	8377
312	3814	8371
313	3827	8361
314	3840	8351
315	3850	8334
316	3861	8319
317	3873	8307
318	3883	8289
319	3895	8277
320	3906	8262
321	3919	8252
322	3930	8238
323	3942	8225
324	3954	8212
325	3963	8195
326	3974	8180
327	3985	8165
328	3995	8149
329	4007	8137
330	4019	8124
331	4029	8107
332	4040	8093
333	4052	8081
334	4064	8069
335	4076	8055
336	4087	8041
337	4100	8030
338	4110	8015
339	4122	8002
340	4134	7990
341	4145	7976
342	4157	7964
343	4170	7953
344	4183	7942
345	4195	7929
346	4207	7918
347	4222	7911
348	4236	7902
349	4249	7891
350	4262	7881
351	4272	7865
352	4284	7852
353	4297	7842
354	4311	7834
355	4324	7822
356	4339	7815
357	4353	7807
358	4367	7797
359	4380	7787
360	4394	7777
361	4405	7764
362	4417	7751
363	4428	7737
364	4438	7721
365	4449	7707
366	4459	7692
367	4469	7675
368	4480	7661
369	4490	7645
370	4500	7629
371	4511	7615
372	4521	7599
373	4532	7586
374	4543	7573
375	4553	7556
376	4564	7542
377	4575	7528
378	4585	7513
379	4595	7498
